issue,openTime,frontWinningNum,backWinningNum,seqFrontWinningNum,seqBackWinningNum,saleMoney,r9SaleMoney,prizePoolMoney,fixPoolMoney,week,tryCode,djEndTime,awardEndDesc,specialNotes,fixUBound,floatBound,winnerDetails,红球1,红球2,红球3,红球4,红球5,直选注数,直选奖金,奇数,偶数,小号,大号,一区,二区,三区,和值,跨度,重号,邻号,孤号,AC,二连,二跳,三跳,四连,三连,五连,四跳,五跳
26021,2026-01-21,2 6 3 0 2,,2 6 3 0 2,,23438536.0,,392933792.78,,星期三,,2026-03-24,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '55', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",2,6,3,0,2,55.0,100000.0,1,4,4,1,4,1,0,13.0,6.0,1.0,2.0,2.0,1.0,1,1,0,0,0,0,0,0
26020,2026-01-20,0 9 5 8 4,,0 9 5 8 4,,22940702.0,,386948910.14,,星期二,,2026-03-24,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '55', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,9,5,8,4,55.0,100000.0,2,3,2,3,1,2,2,26.0,9.0,3.0,3.0,-1.0,2.0,2,0,0,0,0,0,0,0
26019,2026-01-19,8 4 8 9 7,,8 4 8 9 7,,22989730.0,,381207966.16,,星期一,,2026-03-23,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '20', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,4,8,9,7,20.0,100000.0,2,3,1,4,0,1,4,36.0,5.0,2.0,5.0,-2.0,1.0,2,0,0,0,0,0,0,0
26018,2026-01-18,8 9 6 3 2,,8 9 6 3 2,,22764954.0,,371942998.46,,星期日,,2026-03-20,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '77', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,9,6,3,2,77.0,100000.0,2,3,2,3,2,1,2,28.0,7.0,2.0,3.0,0.0,3.0,2,1,0,0,0,0,0,0
26017,2026-01-17,1 1 2 8 8,,1 1 2 8 8,,22796796.0,,368488171.0,,星期六,,2026-03-19,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '93', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",1,1,2,8,8,93.0,100000.0,2,3,3,2,3,0,2,20.0,7.0,2.0,5.0,-2.0,-1.0,1,0,0,0,0,0,0,0
26016,2026-01-16,2 1 5 9 1,,2 1 5 9 1,,26273260.0,,366617740.96,,星期五,,2026-03-18,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '71', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",2,1,5,9,1,71.0,100000.0,4,1,3,2,3,1,1,18.0,8.0,1.0,3.0,1.0,1.0,1,0,0,0,0,0,0,0
26015,2026-01-15,2 0 2 4 4,,2 0 2 4 4,,24471024.0,,360843843.56,,星期四,,2026-03-17,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '48', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",2,0,2,4,4,48.0,100000.0,0,5,5,0,3,2,0,12.0,4.0,1.0,4.0,0.0,-2.0,0,2,0,0,0,0,0,0
26014,2026-01-14,8 3 3 8 2,,8 3 3 8 2,,23258340.0,,353653041.8,,星期三,,2026-03-16,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '58', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,3,3,8,2,58.0,100000.0,2,3,3,2,3,0,2,24.0,6.0,1.0,4.0,0.0,-1.0,1,0,0,0,0,0,0,0
26013,2026-01-13,4 7 7 8 7,,4 7 7 8 7,,23217222.0,,348056455.2,,星期二,,2026-03-16,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '47', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",4,7,7,8,7,47.0,100000.0,3,2,1,4,0,1,4,33.0,4.0,0.0,1.0,4.0,-1.0,1,0,0,0,0,0,0,0
26012,2026-01-12,5 2 2 0 1,,5 2 2 0 1,,23499440.0,,341380016.42,,星期一,,2026-03-13,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '70', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",5,2,2,0,1,70.0,100000.0,2,3,4,1,4,1,0,10.0,5.0,1.0,4.0,0.0,1.0,0,0,0,0,1,0,0,0
26011,2026-01-11,0 3 0 6 7,,0 3 0 6 7,,23727724.0,,336865290.82,,星期日,,2026-03-12,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '23', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,3,0,6,7,23.0,100000.0,2,3,3,2,3,1,1,16.0,7.0,2.0,1.0,2.0,1.0,1,0,1,0,0,0,0,0
26010,2026-01-10,9 2 0 3 4,,9 2 0 3 4,,23466932.0,,327538706.06,,星期六,,2026-03-11,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '32', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",9,2,0,3,4,32.0,100000.0,2,3,4,1,3,1,1,18.0,9.0,2.0,4.0,-1.0,4.0,0,1,0,0,1,0,0,0
26009,2026-01-09,2 4 8 2 1,,2 4 8 2 1,,26721484.0,,319239909.38,,星期五,,2026-03-10,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '72', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",2,4,8,2,1,72.0,100000.0,1,4,4,1,3,1,1,17.0,7.0,0.0,5.0,0.0,2.0,1,1,0,0,0,0,0,0
26008,2026-01-08,5 0 9 6 3,,5 0 9 6 3,,24647300.0,,313346382.22,,星期四,,2026-03-09,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '163', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",5,0,9,6,3,163.0,100000.0,3,2,2,3,2,2,1,23.0,9.0,2.0,3.0,0.0,3.0,1,1,0,0,0,0,0,0
26007,2026-01-07,1 2 6 6 0,,1 2 6 6 0,,23451260.0,,317569205.22,,星期三,,2026-03-09,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '69', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",1,2,6,6,0,69.0,100000.0,1,4,3,2,3,2,0,15.0,6.0,1.0,4.0,0.0,1.0,0,0,0,0,1,0,0,0
26006,2026-01-06,7 1 8 8 8,,7 1 8 8 8,,23230388.0,,312978087.82,,星期二,,2026-03-09,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '137', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,1,8,8,8,137.0,100000.0,2,3,1,4,1,0,4,32.0,7.0,1.0,5.0,-1.0,-1.0,1,0,0,0,0,0,0,0
26005,2026-01-05,0 6 1 6 9,,0 6 1 6 9,,23589808.0,,315295197.7,,星期一,,2026-03-06,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '76', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,6,1,6,9,76.0,100000.0,2,3,2,3,2,2,1,22.0,9.0,0.0,4.0,1.0,2.0,1,0,0,0,0,0,0,0
26004,2026-01-04,8 7 8 8 2,,8 7 8 8 2,,23067856.0,,311336191.78,,星期日,,2026-03-05,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '33', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,7,8,8,2,33.0,100000.0,1,4,1,4,1,0,4,33.0,6.0,1.0,4.0,0.0,-1.0,1,0,0,0,0,0,0,0
26003,2026-01-03,0 8 6 8 9,,0 8 6 8 9,,23366128.0,,303332942.34,,星期六,,2026-03-04,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '58', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,8,6,8,9,58.0,100000.0,1,4,1,4,1,1,3,31.0,9.0,3.0,3.0,-1.0,2.0,1,1,0,0,0,0,0,0
26002,2026-01-02,6 8 9 2 3,,6 8 9 2 3,,24830766.0,,297683539.62,,星期五,,2026-03-03,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '97', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",6,8,9,2,3,97.0,100000.0,2,3,2,3,2,1,2,28.0,7.0,2.0,2.0,1.0,3.0,2,1,0,0,0,0,0,0
26001,2026-01-01,8 3 0 1 3,,8 3 0 1 3,,22810308.0,,295216464.28,,星期四,,2026-03-02,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '95', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,3,0,1,3,95.0,100000.0,3,2,4,1,4,0,1,15.0,8.0,1.0,5.0,-1.0,2.0,1,1,0,0,0,0,0,0
25351,2025-12-31,6 1 7 2 9,,6 1 7 2 9,,25187172.0,,293539413.36,,星期三,,2026-03-02,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '99', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",6,1,7,2,9,99.0,100000.0,3,2,2,3,2,1,2,25.0,8.0,2.0,3.0,0.0,4.0,2,1,0,0,0,0,0,0
25350,2025-12-30,6 7 3 4 4,,6 7 3 4 4,,24335894.0,,291097699.08,,星期二,,2026-02-28,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '36', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",6,7,3,4,4,36.0,100000.0,2,3,3,2,1,3,1,24.0,4.0,2.0,4.0,-1.0,0.0,2,1,0,0,0,0,0,0
25349,2025-12-29,0 3 2 2 6,,0 3 2 2 6,,24575772.0,,282773111.02,,星期一,,2026-02-27,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '98', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,3,2,2,6,98.0,100000.0,1,4,4,1,4,1,0,13.0,6.0,1.0,5.0,-1.0,1.0,1,1,0,0,0,0,0,0
25348,2025-12-28,3 7 3 1 4,,3 7 3 1 4,,23811326.0,,280530982.74,,星期日,,2026-02-26,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '232', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",3,7,3,1,4,232.0,100000.0,4,1,4,1,3,1,1,18.0,6.0,1.0,2.0,2.0,1.0,1,1,0,0,0,0,0,0
