issue,openTime,pool_full_size,pool_size_drop0,cover_full_drop0,hit_drop0_top15,hit_drop0_top20,hit_drop0_top25,hit_drop0_top30,hit_drop0_top40,pool_size_drop10,cover_full_drop10,hit_drop10_top15,hit_drop10_top20,hit_drop10_top25,hit_drop10_top30,hit_drop10_top40,pool_size_drop20,cover_full_drop20,hit_drop20_top15,hit_drop20_top20,hit_drop20_top25,hit_drop20_top30,hit_drop20_top40,pool_size_drop30,cover_full_drop30,hit_drop30_top15,hit_drop30_top20,hit_drop30_top25,hit_drop30_top30,hit_drop30_top40,pool_size_drop40,cover_full_drop40,hit_drop40_top15,hit_drop40_top20,hit_drop40_top25,hit_drop40_top30,hit_drop40_top40,pool_size_drop50,cover_full_drop50,hit_drop50_top15,hit_drop50_top20,hit_drop50_top25,hit_drop50_top30,hit_drop50_top40
2021004,2021-01-04,65,65,12,3,3,5,7,9,55,10,3,3,5,7,9,45,10,3,3,5,7,9,35,7,3,3,5,7,7,25,6,3,4,6,6,6,15,3,3,3,3,3,3
2021005,2021-01-05,66,66,14,3,4,5,6,9,56,13,3,4,5,6,9,46,12,3,4,5,6,9,36,7,3,4,5,6,7,26,4,3,4,4,4,4,16,3,3,3,3,3,3
2021006,2021-01-06,66,66,16,4,5,8,9,11,56,13,4,5,8,9,11,46,11,4,5,8,9,11,36,9,4,5,8,8,9,26,7,4,5,7,7,7,16,5,5,5,5,5,5
2021007,2021-01-07,66,66,16,5,6,8,10,11,56,15,5,6,8,10,11,46,12,5,6,8,10,11,36,11,5,6,8,10,11,26,8,5,6,8,8,8,16,6,6,6,6,6,6
2021008,2021-01-08,67,67,15,3,4,5,7,12,57,12,3,4,5,7,12,47,12,3,4,5,7,12,37,10,3,4,5,7,10,27,6,3,4,5,6,6,17,3,3,3,3,3,3
2021009,2021-01-09,65,65,16,6,8,8,9,10,55,13,6,8,8,9,10,45,11,6,8,8,9,10,35,8,6,8,8,8,8,25,8,6,8,8,8,8,15,6,6,6,6,6,6
2021010,2021-01-10,63,63,13,5,5,7,8,9,53,11,5,5,7,8,9,43,9,5,5,7,8,9,33,8,5,5,7,8,8,23,7,5,7,7,7,7,13,4,4,4,4,4,4
2021011,2021-01-11,64,64,18,3,4,7,9,13,54,16,3,4,7,9,13,44,14,3,4,7,9,13,34,12,3,4,7,9,12,24,7,3,4,7,7,7,14,4,4,4,4,4,4
2021012,2021-01-12,67,67,16,6,7,8,9,11,57,14,6,7,8,9,11,47,12,6,7,8,9,11,37,9,6,7,8,9,9,27,9,6,7,9,9,9,17,8,7,8,8,8,8
2021013,2021-01-13,65,65,17,4,6,9,11,13,55,16,4,6,9,11,13,45,13,4,6,9,11,13,35,12,4,6,9,11,12,25,9,4,7,9,9,9,15,5,5,5,5,5,5
2021014,2021-01-14,66,66,15,1,2,3,6,7,56,11,1,2,3,6,7,46,10,1,2,3,6,7,36,7,1,2,3,6,7,26,5,1,2,4,5,5,16,2,2,2,2,2,2
2021015,2021-01-15,69,69,15,5,6,8,10,12,59,14,5,6,8,10,12,49,13,5,6,8,10,12,39,13,5,6,8,10,13,29,9,5,6,8,9,9,19,7,6,7,7,7,7
2021016,2021-01-16,64,64,18,5,8,8,9,12,54,17,5,8,8,9,12,44,14,5,8,8,9,12,34,10,5,8,8,9,10,24,6,5,6,6,6,6,14,4,4,4,4,4,4
